
Name                                     DisplayName                                                                        State   StartType DelayedAutoSta
                                                                                                                                                          rt
----                                     -----------                                                                        -----   --------- --------------
AxInstSV                                 ActiveX Installer (AxInstSV)                                                       Stopped Manual             False
AarSvc_5a94f                             Agent Activation Runtime_5a94f                                                     Stopped Manual             False
AJRouter                                 AllJoyn Router Service                                                             Stopped Manual             False
AppReadiness                             App Readiness                                                                      Stopped Manual             False
AppIDSvc                                 Application Identity                                                               Running Manual             False
Appinfo                                  Application Information                                                            Running Manual             False
ALG                                      Application Layer Gateway Service                                                  Stopped Manual             False
AppMgmt                                  Application Management                                                             Stopped Manual             False
AppXSvc                                  AppX Deployment Service (AppXSVC)                                                  Running Manual             False
AssignedAccessManagerSvc                 AssignedAccessManager Service                                                      Stopped Manual             False
tzautoupdate                             Auto Time Zone Updater                                                             Stopped Disabled           False
BthAvctpSvc                              AVCTP service                                                                      Running Manual             False
BITS                                     Background Intelligent Transfer Service                                            Stopped Manual              True
BrokerInfrastructure                     Background Tasks Infrastructure Service                                            Running Auto               False
BFE                                      Base Filtering Engine                                                              Running Auto               False
BDESVC                                   BitLocker Drive Encryption Service                                                 Stopped Manual             False
wbengine                                 Block Level Backup Engine Service                                                  Stopped Manual             False
BTAGService                              Bluetooth Audio Gateway Service                                                    Stopped Manual             False
bthserv                                  Bluetooth Support Service                                                          Stopped Manual             False
BluetoothUserService_5a94f               Bluetooth User Support Service_5a94f                                               Stopped Manual             False
PeerDistSvc                              BranchCache                                                                        Stopped Manual             False
camsvc                                   Capability Access Manager Service                                                  Running Manual             False
CaptureService_5a94f                     CaptureService_5a94f                                                               Stopped Manual             False
autotimesvc                              Cellular Time                                                                      Stopped Manual             False
CertPropSvc                              Certificate Propagation                                                            Stopped Manual             False
ClipSVC                                  Client License Service (ClipSVC)                                                   Stopped Manual             False
cbdhsvc_5a94f                            Clipboard User Service_5a94f                                                       Running Auto                True
KeyIso                                   CNG Key Isolation                                                                  Running Manual             False
EventSystem                              COM+ Event System                                                                  Running Auto               False
COMSysApp                                COM+ System Application                                                            Running Manual             False
CDPSvc                                   Connected Devices Platform Service                                                 Running Auto                True
CDPUserSvc_5a94f                         Connected Devices Platform User Service_5a94f                                      Running Auto               False
DiagTrack                                Connected User Experiences and Telemetry                                           Running Auto               False
ConsentUxUserSvc_5a94f                   ConsentUX User Service_5a94f                                                       Stopped Manual             False
PimIndexMaintenanceSvc_5a94f             Contact Data_5a94f                                                                 Running Manual             False
CoreMessagingRegistrar                   CoreMessaging                                                                      Running Auto               False
VaultSvc                                 Credential Manager                                                                 Running Manual             False
CredentialEnrollmentManagerUserSvc_5a94f CredentialEnrollmentManagerUserSvc_5a94f                                           Stopped Manual             False
CryptSvc                                 Cryptographic Services                                                             Running Auto               False
DsSvc                                    Data Sharing Service                                                               Stopped Manual             False
DusmSvc                                  Data Usage                                                                         Running Auto               False
DcomLaunch                               DCOM Server Process Launcher                                                       Running Auto               False
dcsvc                                    dcsvc                                                                              Stopped Manual              True
DoSvc                                    Delivery Optimization                                                              Running Auto                True
DeviceAssociationService                 Device Association Service                                                         Stopped Manual             False
DeviceInstall                            Device Install Service                                                             Stopped Manual             False
DmEnrollmentSvc                          Device Management Enrollment Service                                               Stopped Manual             False
dmwappushservice                         Device Management Wireless Application Protocol (WAP) Push message Routing Service Stopped Manual              True
DsmSvc                                   Device Setup Manager                                                               Stopped Manual             False
DeviceAssociationBrokerSvc_5a94f         DeviceAssociationBroker_5a94f                                                      Stopped Manual             False
DevicePickerUserSvc_5a94f                DevicePicker_5a94f                                                                 Stopped Manual             False
DevicesFlowUserSvc_5a94f                 DevicesFlow_5a94f                                                                  Stopped Manual             False
DevQueryBroker                           DevQuery Background Discovery Broker                                               Stopped Manual             False
Dhcp                                     DHCP Client                                                                        Running Auto               False
diagsvc                                  Diagnostic Execution Service                                                       Stopped Manual             False
DPS                                      Diagnostic Policy Service                                                          Running Auto               False
WdiServiceHost                           Diagnostic Service Host                                                            Stopped Manual             False
WdiSystemHost                            Diagnostic System Host                                                             Running Manual             False
DialogBlockingService                    DialogBlockingService                                                              Stopped Disabled           False
DisplayEnhancementService                Display Enhancement Service                                                        Running Manual             False
DispBrokerDesktopSvc                     Display Policy Service                                                             Running Auto               False
TrkWks                                   Distributed Link Tracking Client                                                   Running Auto               False
MSDTC                                    Distributed Transaction Coordinator                                                Running Manual              True
Dnscache                                 DNS Client                                                                         Running Auto               False
MapsBroker                               Downloaded Maps Manager                                                            Stopped Auto                True
embeddedmode                             Embedded Mode                                                                      Stopped Manual             False
EFS                                      Encrypting File System (EFS)                                                       Stopped Manual             False
EntAppSvc                                Enterprise App Management Service                                                  Stopped Manual             False
EapHost                                  Extensible Authentication Protocol                                                 Stopped Manual             False
fhsvc                                    File History Service                                                               Stopped Manual             False
fdPHost                                  Function Discovery Provider Host                                                   Stopped Manual             False
FDResPub                                 Function Discovery Resource Publication                                            Stopped Manual             False
BcastDVRUserService_5a94f                GameDVR and Broadcast User Service_5a94f                                           Stopped Manual             False
lfsvc                                    Geolocation Service                                                                Running Manual             False
GraphicsPerfSvc                          GraphicsPerfSvc                                                                    Stopped Manual             False
gpsvc                                    Group Policy Client                                                                Stopped Auto               False
hidserv                                  Human Interface Device Service                                                     Stopped Manual             False
HvHost                                   HV Host Service                                                                    Stopped Manual             False
vmickvpexchange                          Hyper-V Data Exchange Service                                                      Stopped Manual             False
vmicguestinterface                       Hyper-V Guest Service Interface                                                    Stopped Manual             False
